iter	RMSE
0	0.05873723004
1	0.05324449115
2	0.04847968983
3	0.04429705981
4	0.04036171757
5	0.03682941756
6	0.03363733782
7	0.03072264868
8	0.02807450045
9	0.02561638388
10	0.02349207495
11	0.02166144344
12	0.02009248081
13	0.01861655229
14	0.01717925774
15	0.01600162442
16	0.0149035878
17	0.01399631659
18	0.01311819155
19	0.01234341116
20	0.01165572786
21	0.01103078694
22	0.01047918762
23	0.009969066112
24	0.009605863613
25	0.009263316751
26	0.008946188311
27	0.008634418814
28	0.008370912108
29	0.008143079387
30	0.007942516112
31	0.00778452893
32	0.007602018173
33	0.007473855998
34	0.007362374903
35	0.007223749465
36	0.007133042968
37	0.007048710896
38	0.006967836258
39	0.006851278015
40	0.006792652182
41	0.006727497916
42	0.006687190285
43	0.006624750202
44	0.006582394701
45	0.006546332579
46	0.006507284994
47	0.00645803074
48	0.006410680387
49	0.006370982328
50	0.006340065359
51	0.006305285445
52	0.006281435403
53	0.006257698806
54	0.006231378917
55	0.006212198548
56	0.006176955376
57	0.006151341938
58	0.006136342021
59	0.006114885896
60	0.006086644939
61	0.006066221303
62	0.006046495538
63	0.006020760296
64	0.006007792618
65	0.005982954684
66	0.005957258154
67	0.005940097093
68	0.005916953152
69	0.00590604476
70	0.005889179312
71	0.005866879517
72	0.005854359241
73	0.005834086552
74	0.005815827976
75	0.005791021523
76	0.005766952314
77	0.005750662163
78	0.005730325931
79	0.005710059627
80	0.005697764284
81	0.005680087975
82	0.0056599776
83	0.00564180332
84	0.005624434792
85	0.005614867707
86	0.005600464899
87	0.005587026021
88	0.005568282155
89	0.005557567647
90	0.005540655424
91	0.005533145767
92	0.005522179939
93	0.005503016591
94	0.005483132128
95	0.005465576242
96	0.005452776701
97	0.005439840697
98	0.005426665605
99	0.005415752852
100	0.005405901884
101	0.005389955071
102	0.005381291824
103	0.005359097463
104	0.005353045378
105	0.005341523536
106	0.005332914939
107	0.00532509563
108	0.005315444827
109	0.00530640271
110	0.005287669126
111	0.005276018166
112	0.005262041846
113	0.005251770715
114	0.005243709875
115	0.005230807756
116	0.005223540465
117	0.005207837126
118	0.005196525317
119	0.005184525435
120	0.005172998741
121	0.005165382532
122	0.005156024501
123	0.005148912399
124	0.005139970116
125	0.005128693603
126	0.005119462762
127	0.005111880821
128	0.00510261816
129	0.005095494109
130	0.005085205564
131	0.005078014284
132	0.005068210217
133	0.005056486268
134	0.005047983905
135	0.005042272944
136	0.00503331947
137	0.005023252544
138	0.005013064879
139	0.005001373277
140	0.004993246063
141	0.004980801315
142	0.004970116394
143	0.004963444667
144	0.004956824127
145	0.00494994491
146	0.004941653969
